YEAR;MONTH;STARS;PRICE
2017;January;3;51,55 €
2017;January;4;65,50 €
2017;January;5;129,67 €
2017;February;3;50,35 €
2017;February;4;66,03 €
2017;February;5;128,15 €
2017;March;3;54,66 €
2017;March;4;70,58 €
2017;March;5;138,63 €
2017;April;3;74,49 €
2017;April;4;88,92 €
2017;April;5;169,53 €
2017;May;3;78,44 €
2017;May;4;96,92 €
2017;May;5;182,69 €
2017;Jun;3;74,03 €
2017;Jun;4;90,30 €
2017;Jun;5;170,80 €
2017;Jul;3;72,59 €
2017;Jul;4;85,73 €
2017;Jul;5;163,68 €
2017;August;3;75,26 €
2017;August;4;86,34 €
2017;August;5;159,05 €
2017;September;3;89,77 €
2017;September;4;109,60 €
2017;September;5;200,97 €
2017;October;3;85,00 €
2017;October;4;108,92 €
2017;October;5;195,91 €
2017;November;3;62,81 €
2017;November;4;83,63 €
2017;November;5;164,98 €
2017;December;3;NaN
2017;December;4;NaN
2017;December;5;NaN
2018;January;3;58,93 €
2018;January;4;72,82 €
2018;January;5;147,69 €
2018;February;3;57,17 €
2018;February;4;71,25 €
2018;February;5;143,27 €
2018;March;3;65,60 €
2018;March;4;83,21 €
2018;March;5;153,34 €
2018;April;3;82,37 €
2018;April;4;95,02 €
2018;April;5;174,53 €
2018;May;3;97,39 €
2018;May;4;110,54 €
2018;May;5;199,30 €
2018;Jun;3;90,37 €
2018;Jun;4;104,61 €
2018;Jun;5;193,39 €
2018;Jul;3;91,41 €
2018;Jul;4;101,76 €
2018;Jul;5;194,98 €
2018;August;3;84,68 €
2018;August;4;92,87 €
2018;August;5;182,09 €
2018;September;3;94,25 €
2018;September;4;110,36 €
2018;September;5;193,95 €
2018;October;3;87,85 €
2018;October;4;102,77 €
2018;October;5;189,10 €
2018;November;3;70,35 €
2018;November;4;88,04 €
2018;November;5;170,06 €
2018;December;3;NaN
2018;December;4;NaN
2018;December;5;NaN
2019;January;3;58,58 €
2019;January;4;75,29 €
2019;January;5;152,19 €
2019;February;3;56,10 €
2019;February;4;72,75 €
2019;February;5;148,78 €
2019;March;3;68,05 €
2019;March;4;89,97 €
2019;March;5;156,12 €
2019;April;3;84,44 €
2019;April;4;100,86 €
2019;April;5;178,87 €
2019;May;3;93,23 €
2019;May;4;112,18 €
2019;May;5;196,77 €
2019;Jun;3;94,06 €
2019;Jun;4;118,90 €
2019;Jun;5;212,56 €
2019;Jul;3;83,82 €
2019;Jul;4;96,30 €
2019;Jul;5;178,18 €
2019;August;3;80,98 €
2019;August;4;95,98 €
2019;August;5;168,26 €
2019;September;3;NaN
2019;September;4;NaN
2019;September;5;NaN
2019;October;3;NaN
2019;October;4;NaN
2019;October;5;NaN
2019;November;3;NaN
2019;November;4;NaN
2019;November;5;NaN
2019;December;3;NaN
2019;December;4;NaN
2019;December;5;NaN