year;month;stars; price 
2018;August;3; 84,68 
2018;August;4; 92,87 
2018;August;5; 182,09 
2018;September;3; 94,25 
2018;September;4; 110,36 
2018;September;5; 193,95 
2018;October;3; 87,85 
2018;October;4; 102,77 
2018;October;5; 189,10 
2018;November;3; 70,35 
2018;November;4; 88,04 
2018;November;5; 170,06 
2018;December;3; NaN 
2018;December;4; NaN 
2018;December;5; NaN 
2019;January;3; 58,58 
2019;January;4; 75,29 
2019;January;5; 152,19 
2019;February;3; 56,10 
2019;February;4; 72,75 
2019;February;5; 148,78 
2019;March;3; 68,05 
2019;March;4; 89,97 
2019;March;5; 156,12 
2019;April;3; 84,44 
2019;April;4; 100,86 
2019;April;5; 178,87 
2019;May;3; 93,23 
2019;May;4; 112,18 
2019;May;5; 196,77 
2019;Jun;3; 94,06 
2019;Jun;4; 118,90 
2019;Jun;5; 212,56 
2019;Jul;3; 83,82 
2019;Jul;4; 96,30 
2019;Jul;5; 178,18 
2019;August;3; 80,98 
2019;August;4; 95,98 
2019;August;5; 168,26 